words,tags,frequency
acti,1,5.044136191677175e-06
action,21,0.00010592686002522068
active,5,2.5220680958385876e-05
activitie,6,3.0264817150063052e-05
actor/dancer,1,5.044136191677175e-06
actors,1,5.044136191677175e-06
actual,3,1.5132408575031526e-05
actuall,3,1.5132408575031526e-05
actually,4,2.01765447667087e-05
ad,6,3.0264817150063052e-05
add,4,2.01765447667087e-05
added,6,3.0264817150063052e-05
added/u,1,5.044136191677175e-06
additi,2,1.008827238335435e-05
additio,2,1.008827238335435e-05
addition,4,2.01765447667087e-05
additional,5,2.5220680958385876e-05
address,12,6.0529634300126105e-05
adds,1,5.044136191677175e-06
adja,1,5.044136191677175e-06
adjac,1,5.044136191677175e-06
adjace,1,5.044136191677175e-06
adjacent,7,3.530895334174023e-05
adjoi,2,1.008827238335435e-05
adjoining,2,1.008827238335435e-05
adjusta,1,5.044136191677175e-06
adorable,61,0.0003076923076923077
adorably,1,5.044136191677175e-06
adorbale,1,5.044136191677175e-06
adorne,1,5.044136191677175e-06
adorned,3,1.5132408575031526e-05
adrift,1,5.044136191677175e-06
adul,3,1.5132408575031526e-05
adult,3,1.5132408575031526e-05
adult-height,1,5.044136191677175e-06
adults,7,3.530895334174023e-05
adv,1,5.044136191677175e-06
advance,3,1.5132408575031526e-05
advanced,1,5.044136191677175e-06
advantage,3,1.5132408575031526e-05
advantages,1,5.044136191677175e-06
adve,1,5.044136191677175e-06
advent,2,1.008827238335435e-05
adventu,1,5.044136191677175e-06
adventur,10,5.044136191677175e-05
adventure,8,4.03530895334174e-05
adventurer,3,1.5132408575031526e-05
adventurers,116,0.0005851197982345523
adventurers/students,1,5.044136191677175e-06
adventures,1,5.044136191677175e-06
advice,2,1.008827238335435e-05
advised,4,2.01765447667087e-05
ae,1,5.044136191677175e-06
aero,1,5.044136191677175e-06
aesthetic,1,5.044136191677175e-06
aesthetics,3,1.5132408575031526e-05
af,6,3.0264817150063052e-05
afew,1,5.044136191677175e-06
affect,1,5.044136191677175e-06
affected,1,5.044136191677175e-06
affectionately,1,5.044136191677175e-06
affo,1,5.044136191677175e-06
affor,3,1.5132408575031526e-05
afford,1,5.044136191677175e-06
afforda,1,5.044136191677175e-06
affordab,1,5.044136191677175e-06
affordabl,1,5.044136191677175e-06
affordable,74,0.00037326607818411096
affordi,1,5.044136191677175e-06
affords,2,1.008827238335435e-05
afipmnyc,3,1.5132408575031526e-05
afri,1,5.044136191677175e-06
african,1,5.044136191677175e-06
aft,2,1.008827238335435e-05
afte,2,1.008827238335435e-05
ag,4,2.01765447667087e-05
aga,1,5.044136191677175e-06
again,1,5.044136191677175e-06
age,2,1.008827238335435e-05
ago,3,1.5132408575031526e-05
agrees,1,5.044136191677175e-06
ah,1,5.044136191677175e-06
ai,13,6.557377049180328e-05
aid,3,1.5132408575031526e-05
aim,1,5.044136191677175e-06
air,80,0.000403530895334174
air-,2,1.008827238335435e-05
air-c,1,5.044136191677175e-06
air-con,1,5.044136191677175e-06
air-conditione,2,1.008827238335435e-05
air-conditioned,7,3.530895334174023e-05
air-conditioned/heate,1,5.044136191677175e-06
air-conditioner,1,5.044136191677175e-06
air-conditioning,2,1.008827238335435e-05
airb,1,5.044136191677175e-06
airbb,1,5.044136191677175e-06
airbed,2,1.008827238335435e-05
airbn,5,2.5220680958385876e-05
airbnb,108,0.0005447667087011349
airbnb'ers,2,1.008827238335435e-05
airbnb'ing,1,5.044136191677175e-06
airbnb-ded,1,5.044136191677175e-06
airbnb-ers,1,5.044136191677175e-06
airbnb-ing,1,5.044136191677175e-06
airbnbs,1,5.044136191677175e-06
airconditioned,2,1.008827238335435e-05
aired,1,5.044136191677175e-06
airline,5,2.5220680958385876e-05
airpo,4,2.01765447667087e-05
airpor,4,2.01765447667087e-05
airport,60,0.0003026481715006305
"airport,3",3,1.5132408575031526e-05
airports,4,2.01765447667087e-05
"airports,1",1,5.044136191677175e-06
airtrain,1,5.044136191677175e-06
airways,1,5.044136191677175e-06
airy,211,0.001064312736443884
aka,1,5.044136191677175e-06
akua,1,5.044136191677175e-06
al,35,0.00017654476670870113
alameda,2,1.008827238335435e-05
alb,1,5.044136191677175e-06
albans,2,1.008827238335435e-05
albeit,1,5.044136191677175e-06
alco,1,5.044136191677175e-06
alcove,57,0.000287515762925599
alcove-style,1,5.044136191677175e-06
alec,1,5.044136191677175e-06
alert,1,5.044136191677175e-06
alessia,1,5.044136191677175e-06
alex,2,1.008827238335435e-05
ali,1,5.044136191677175e-06
alice,3,1.5132408575031526e-05
